"
";Fast Track;;Intake;Code - Abbraviation;University Name;CSCA;Major (English-Taught);PIC;Seats;Remaining Seats;;;Location;Best Ranking;Special Title;Deadline;Mini Marks ;Oiginal tuition (RMB/year);Original Dorm (RMB/year);Rent outside the dorm;Scholarship Details;Self Introduction Video;Interview;Guardian Letter;Age limit;English;Docs List;Dorm link;Specail requirments;offer mail;;;;;;;;;;;;;;
Software;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;Software Engineering;Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;25000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;20,000 RMB/year (4 years);No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
Civil Eng;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;Civil Engineering;Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;25000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;20,000 RMB a year (4 years);No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
Business;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;International Economy and Trade;Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;23000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;"Type A: Cover tuition fee.(20 seats, but only for students who have already enrolled in the advanced Chinese Language and English Foundation courses)(4 years)
Type B: 18,000RMB/year (4 years)";No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
Tourism;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;Tourism Management ;Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;23000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;"Type A: Cover tuition fee. (20 seats, but only for students who have already enrolled in the advanced Chinese Language and English Foundation courses)(4 years)
Type B: 18,000RMB/year (4 years)";No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
Others;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;Urban and Rural Planning;Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;25000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;"Type A: Cover tuition fee.(20 seats, but only for students who have already enrolled in the advanced Chinese Language and English Foundation courses)(4 years)
Type B: 20,000RMB/year (4 years)";No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
Architecture;Yes;Hot __;September;ZZU;Zhengzhou University;Yes;Architecture (5 years);Qumin;;;;;Zhengzhou, Henan;29-US NEWS RANKING;"211 
Double First-Class";30th June;Morocco average: ≥14;25000;"Two types of On-campus dormitory: CNY 15/day or 30/day.

BUILDING 17 OF LIUYUAN (BUILDING 17 PARK OF WILLOW):
For students of short term non-degree programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year(The cost of water and Electricity are included)
Double-bed room: RMB 10950/Year(The cost of water and Electricity are included)

BUILDING 12 OF SONGUAN (BUILDING 12 PARK OF PINE): 
For male  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

BUILDING 2 OF HEYUAN (BUILDING 2 PARK OF LOTUS): 
For female  students of degree programs, the Price and Types of Room:
Single-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 5500/Year (The partial cost of water and Electricity are  included)

INTERNATIONAL STUDENT HOSTEL (BUILDING IN EAST CAMPUS): 
For postgradute and late stage of undergraduate students of medical programs, the Price and Types of Room:
Single-bed room: RMB 21900/Year (The partial cost of water and Electricity are  included)
Double-bed room: RMB 10950/Year (The partial cost of water and Electricity are  included)

Postgraduate students as well as undergraduate students (at Clinical Stage) can choose to dwell off campus.
";Allowed;"Type A: Cover tuition fee.(20 seats, but only for students who have already enrolled in the advanced Chinese Language and English Foundation courses)(4 years)
Type B: 20,000RMB/year (4 years)";No;Yes;No;30;EFFST, Duolingo, TOEFL, IELTS;ZZU.docx;ZZU;If the overall GPA of a Moroccan student in high school is below 14 points, they must first apply for our preparatory course. If the student does not obtain the final graduation certificate, they can apply for the undergraduate program only after obtaining the final graduation certificate and transcript. Students who have not obtained the graduation certificate should first apply for the preparatory course, or apply after obtaining the final documents, but there may not be any available seats. Meanwhile, students applying directly for the undergraduate program must submit the CSCA scores.;No war-torn countries;;;;;;;;;;;;;;
Business;No;General;September;BLCU;Beijing Language and Culture University;No;Finance;Yuki;;;;;Beijing;5-SHANGHAI RANKING of Chinese Language Universities;N/A;30th June;70%;39000;"Accommodation Center: 
Single Room: 150 RMB/Day Building 16 (Suite Room)
            200 RMB/Day Building 7/8
            300 RMB/Day Building 17
Double Room:100 RMB/Bed/Day Building 16 (Suite Room)
            120 RMB/Bed/Day Building 17
Triple Room: 70 RMB/Bed/Day Building 16 (Suite Room)
Quadruple Room: 70 RMB/Bed/Day Building 17                       
Convention Center:
Single Room: 240 RMB/Day";Allowed;Free first year tuition fee;No;Yes;Yes;55;TOEFL, TOEIC, IELTS;B2615-BLCU-Beijing Language and Culture University.pdf;BLCU;;;;;;;;;;;;;;;;
Business;No;General;September;BLCU;Beijing Language and Culture University;No;International Economics and Trade;Yuki;;;;;Beijing;5-SHANGHAI RANKING of Chinese Language Universities;N/A;30th June;70%;39000;"Accommodation Center: 
Single Room: 150 RMB/Day Building 16 (Suite Room)
            200 RMB/Day Building 7/8
            300 RMB/Day Building 17
Double Room:100 RMB/Bed/Day Building 16 (Suite Room)
            120 RMB/Bed/Day Building 17
Triple Room: 70 RMB/Bed/Day Building 16 (Suite Room)
Quadruple Room: 70 RMB/Bed/Day Building 17                       
Convention Center:
Single Room: 240 RMB/Day";Allowed;Free first year tuition fee;No;Yes;Yes;55;TOEFL, IELTS;B2615-BLCU-Beijing Language and Culture University.pdf;BLCU;;;;;;;;;;;;;;;;
Business;No;General;September;BLCU;Beijing Language and Culture University;No;Accounting;Yuki;;;;;Beijing;5-SHANGHAI RANKING of Chinese Language Universities;N/A;30th June;70%;39000;"Accommodation Center: 
Single Room: 150 RMB/Day Building 16 (Suite Room)
            200 RMB/Day Building 7/8
            300 RMB/Day Building 17
Double Room:100 RMB/Bed/Day Building 16 (Suite Room)
            120 RMB/Bed/Day Building 17
Triple Room: 70 RMB/Bed/Day Building 16 (Suite Room)
Quadruple Room: 70 RMB/Bed/Day Building 17                       
Convention Center:
Single Room: 240 RMB/Day";Allowed;Free first year tuition fee;No;Yes;Yes;55;TOEFL, IELTS;B2615-BLCU-Beijing Language and Culture University.pdf;BLCU;;;;;;;;;;;;;;;;
Others;No;General;September;BLCU;Beijing Language and Culture University;No;Special Education;Yuki;;;;;Beijing;5-SHANGHAI RANKING of Chinese Language Universities;N/A;30th June;70%;39000;"Accommodation Center: 
Single Room: 150 RMB/Day Building 16 (Suite Room)
            200 RMB/Day Building 7/8
            300 RMB/Day Building 17
Double Room:100 RMB/Bed/Day Building 16 (Suite Room)
            120 RMB/Bed/Day Building 17
Triple Room: 70 RMB/Bed/Day Building 16 (Suite Room)
Quadruple Room: 70 RMB/Bed/Day Building 17                       
Convention Center:
Single Room: 240 RMB/Day";Allowed;Free first year tuition fee;No;Yes;Yes;55;TOEFL, IELTS;B2615-BLCU-Beijing Language and Culture University.pdf;BLCU;;;;;;;;;;;;;;;;
